Title,Company,Location,Salary
戦略コンサル担当者,株式会社WACUL,東京都 千代田区,月給 49.0万円 ~ 68.7万円
データアナリスト、レポーター,株式会社ビーボ,東京都 港区 北青山,正社員
データアナリスト,株式会社Studio KUMASAN,東京都 港区 六本木,年収 500万円
【エクイティ・リサーチ部】リサーチ・アシスタント,野村證券株式会社,東京都 千代田区 大手町,正社員
マーケティングアナリスト,株式会社ライドアンドコネクト,東京都 千代田区 丸の内,"年収 1,800万円 ~ 2,200万円"
データサイエンティスト・アナリスト,メディカル・データ・ビジョン株式会社,東京都 千代田区,"月給 437,200円 ~ 520,000円"
データアナリスト補,株式会社ジーユーエヌ,東京都 新宿区 新宿, 
データサイエンティスト・アナリスト,株式会社COMPASS,東京都 文京区,"月給 438,880円 ~ 833,450円"
データアナリスト・データサイエンティスト,TOTOアクアエンジ株式会社,東京都 港区,月給 24万円 ~ 27万円
飲食店データ活用でSNS施策を分析提案,株式会社ー心堂[1000006],東京都 千代田区 有楽町,年俸 350万円 ~ 395万円
データアナリスト(リテール),Catalina Marketing Japan K.K.,東京都 港区,正社員
データアナリスト・データサイエンティスト,一般社団法人CRD協会,一部在宅 in 東京都 中央区,月給 25.0万円 ~ 37.5万円
データアナリスト・データサイエンティスト,クオン株式会社,東京都 港区,"月給 269,415円 ~ 500,000円"
データサイエンティスト・アナリスト,NSフィナンシャルマネジメントコンサルティング株式会社,一部在宅 in 東京都 港区,月給 33.0万円 ~ 49.5万円
消費者市場戦略本部(CMK)　セールスグロースアナリスト/データアナリスト (既卒者採用),Procter & Gamble,東京都 中央区, 
データ分析スタッフ・データサイエンティスト・データアナリスト,株式会社グッドワンライズ,東京都 江東区,月給 25万円 ~ 45万円
大手HR事業のデータアナリスト案件,株式会社IT&Plucktice,東京都 中央区 銀座,月給 79万円 ~ 80万円
データアナリスト支援 データで改善,株式会社ー心堂[1500013],東京都 渋谷区 恵比寿,年俸 420万円 ~ 850万円
データサイエンティスト・アナリスト,ネイチャーインサイト株式会社,一部在宅 in 東京都 千代田区,"月給 217,500円 ~ 430,000円"
データアナリスト・データサイエンティスト,損害保険ジャパン株式会社,東京都 新宿区,月給 37.5万円 ~ 46.5万円
データサイエンティスト/ITコンサルティング,ホワイトヘルスケア株式会社,東京都 中央区 日本橋大伝馬町,"年収 680万円 ~ 1,000万円"
データアナリスト,株式会社マイベスト,フルリモート in 東京都 中央区,"月給 620,000円 ~ 916,666円"
データアナリスト,株式会社Luup,フルリモート in 東京都 千代田区 神田佐久間町,"月給 500,000円 ~ 833,333円"
データアナリスト・データサイエンティスト,みずほ第一フィナンシャルテクノロジー株式会社,東京都 千代田区,月給 35万円 ~ 60万円
新卒採用 マーケティングデータアナリスト,株式会社電通クロスブレイン,東京都,"月給 328,250円 ~ 404,000円"
データアナリスト・データサイエンティスト,KINTOテクノロジーズ株式会社,フルリモート in 東京都 中央区,"月給 241,800円"
データアナリスト・データサイエンティスト,TOTOアクアエンジ株式会社,東京都 港区,月給 24万円 ~ 27万円
戦略コンサル担当者,株式会社WACUL,東京都 千代田区,月給 49.0万円 ~ 68.7万円
データアナリスト補,株式会社ジーユーエヌ,東京都 新宿区 新宿, 
データアナリスト・データサイエンティスト,損害保険ジャパン株式会社,東京都 新宿区,月給 37.5万円 ~ 46.5万円
データサイエンティスト・アナリスト,株式会社YOUTRUST,一部在宅 in 東京都 渋谷区,"月給 341,649円 ~ 458,333円"
データ分析スタッフ・データサイエンティスト・データアナリスト,株式会社グッドワンライズ,東京都 江東区,月給 25万円 ~ 45万円
データサイエンティスト・アナリスト,株式会社Rosso,一部在宅 in 東京都 渋谷区,月給 31万円 ~ 54万円
データアナリスト・データサイエンティスト,デサントジャパン株式会社,東京都 豊島区,"月給 375,000円 ~ 666,666円"
データサイエンティスト・アナリスト,トグルホールディングス株式会社,一部在宅 in 東京都 千代田区,"年収 600万円 ~ 1,400万円"
リテールサポートアナリスト,キャロウェイゴルフ株式会社,東京都 港区 白金台,正社員
データ・AIを活用したサービスを開発,トランスコスモス株式会社,東京都 豊島区 池袋駅,年収 400万円 ~ 600万円
データアナリスト,マネックス証券株式会社,東京都 港区 赤坂,月給 34万円 ~ 62万円
【エクイティ・リサーチ部】リサーチ・アシスタント,野村證券株式会社,東京都 千代田区 大手町,正社員
データサイエンティスト/ITコンサルティング,ホワイトヘルスケア株式会社,東京都 中央区 日本橋大伝馬町,"年収 680万円 ~ 1,000万円"
【メディア事業部】データサイエンティスト/アナリスト,サイバーエージェントグループ,東京都 渋谷区 宇田川町,正社員
広報,株式会社ミラティブ,東京都 目黒区,"月給 258,833円 ~ 500,000円"
データアナリスト,株式会社Luup,フルリモート in 東京都 千代田区 神田佐久間町,"月給 500,000円 ~ 833,333円"
データアナリスト支援 データで改善,株式会社ー心堂[1500013],東京都 渋谷区 恵比寿,年俸 420万円 ~ 850万円
データアナリスト・データサイエンティスト,株式会社HARVEST,東京都 新宿区,"月給 292,400円 ~ 334,000円"
データサイエンティスト・アナリスト,株式会社アプラス,東京都 豊島区,月給 23万円 ~ 40万円
【リモート可】DX戦略支援 データアナリスト(第2新卒・未経験者向け),株式会社豆蔵,東京都 新宿区 西新宿,年収 400万円 ~ 500万円
データアナリスト・データサイエンティスト,山田コンサルティンググループ株式会社,東京都 千代田区,"月給 333,334円 ~ 375,000円"
《未経験可》データアナリスト(正社員/土日祝休み/丁寧な研修),(株)ユニゾン・テクノロジー,東京都 台東区 上野駅,月給 25万円 ~ 60万円
データアナリスト・データサイエンティスト,新生フィナンシャル株式会社,一部在宅 in 東京都 千代田区,月給 25.0万円 ~ 35.8万円
国内最大級の電子書籍事業をデータで牽引する、データアナリスト・分析担当者募集!!/インターネット/Webサービス・ASP,株式会社BookLive,東京都,年収 450万円
総務,株式会社TimeTree,東京都 新宿区,"年収 350万円 ~ 1,000万円"
データアナリスト・データサイエンティスト,株式会社STAYGOLD,東京都 渋谷区,"月給 287,300円 ~ 500,000円"
ソリューション企画,岡三証券株式会社,東京都 中央区 三越前駅,正社員
データサイエンティスト データアナリスト,株式会社ACCESS,東京都 千代田区 神田練塀町,月給 25.0万円 ~ 41.6万円
企画推進スタッフ 心を動かす,株式会社ー心堂[1500044],東京都 渋谷区 円山町,年俸 450万円 ~ 700万円
フラッシュメモリ・SSDの市場調査及び分析[A],キオクシア株式会社,東京都 港区 田町駅,月給 22.7万円 ~ 63.0万円
アナリスト・データサイエンティスト/フルリモート,(株)Elcamy,フルリモート in 東京都 渋谷区 桜丘町,年俸 350万円 ~ 450万円
データ分析,株式会社 楡,東京都 新宿区,"時給 1,500円 ~ 1,700円"
データ分析スペシャリスト 医療情報化へ,株式会社ー心堂[1020071],東京都 千代田区 富士見,"年俸 1,000万円 ~ 1,320万円"
大規模DX推進|データサイエンティスト/データアナリスト,株式会社野村総合研究所,東京都 三鷹市,月給 40.5万円 ~ 89.0万円
データアナリストとして事業を改善,株式会社ー心堂[1500031],東京都 渋谷区 桜丘町,年俸 550万円 ~ 800万円
電力需給アナリスト,株式会社 エナリス,東京都 千代田区 御茶ノ水駅,正社員
データアナリスト,株式会社ジャパネットホールディングス,東京都 港区,"月給 247,300円 ~ 336,100円"
データアナリスト【フルリモートOK】,GO株式会社,東京都,"年収 500万円 ~ 1,000万円"
外資系製薬企業向けコマーシャル領域サポート業務(LS2527),日本タタ・コンサルタンシー・サービシズ株式会社,東京都 港区,正社員
広報スペシャリスト(メディアリレーション・ソーシャルメディア担当),日本タタ・コンサルタンシー・サービシズ株式会社,東京都 港区 麻布台,月給 40万円 ~ 89万円
戦略・経営コンサルタント,株式会社アールジーン,一部在宅 in 東京都 渋谷区,月給 35万円 ~ 100万円
データアナリスト・データサイエンティスト,エム・アール・アイリサーチアソシエイツ株式会社,東京都 千代田区,月給 28万円 ~ 50万円
データアナリスト,コクー株式会社261658,東京都 千代田区 神田神保町,月給 25万円 以上
データアナリスト,株式会社HYPER CUBE,東京都 新宿区 新宿駅,正社員
【産業戦略開発部】リサーチアソシエイト(コンシューマー・リテールセクター),野村證券株式会社,東京都 千代田区 大手町,正社員
データ分析スペシャリスト 医療情報化へ,株式会社ー心堂[1020071],東京都 千代田区 富士見,"年俸 1,000万円 ~ 1,320万円"
データサイエンティスト・アナリスト,株式会社GURA,東京都 中央区,月給 25万円 以上
データアナリスト・データサイエンティスト,Hmcomm株式会社,東京都 港区,"月給 312,430円 ~ 1,043,040円"
アナリスト(アシスタント),ファースト・ヘルスケア 株式会社,東京都 新宿区 新宿,正社員+2
データアナリスト【フルリモート・副業OK】/インターネット/Webサービス・ASP,株式会社PREVENT,東京都,年収 400万円 ~ 550万円
【リモート可】DX戦略支援 データアナリスト,株式会社豆蔵,東京都 新宿区 西新宿,"年収 500万円 ~ 1,000万円"
障がい者採用_マーケティング事業オープンポジション,カルチュア･コンビニエンス・クラブグループ,東京都 渋谷区 渋谷,"月給 303,031円"
運用戦略改善に貢献するアナリスト,株式会社ー心堂[1020082],東京都 千代田区 一番町,"年俸 600万円 ~ 1,000万円"
営業,株式会社ネクストベース,東京都 品川区 大崎駅,正社員
【メディア事業部】データアナリスト / ABEMA,サイバーエージェントグループ,東京都 渋谷区 宇田川町,正社員
アナリスト職,ゴールデンルールス・コンサルティング株式会社,東京都 足立区 北千住駅,年収 400万円 ~ 800万円
調達・生産企画室/マーケティング・アナリスト、データ・サイエンティスト,東京エレクトロングループ,東京都 港区 赤坂,正社員
システムエンジニア/データアナリスト,スカパーJSAT株式会社,東京都 港区,年収 630万円 ~ 900万円
アナリスト(研究・開発関連),株式会社ネクストベース,東京都 品川区 大崎駅,正社員
【SQL / 経験5年】データアナリスト,株式会社ビズリンク,一部在宅 in 東京都 千代田区 市ケ谷駅,月給 85万円
システムエンジニア/データアナリスト,株式会社truestar,東京都 渋谷区,年収 400万円 ~ 600万円
【本社/成長推進室】サステナブルデータセンター向け営業・マーケティング,三菱重工業株式会社,東京都 千代田区 丸の内,正社員
新卒採用 データアナリスト / 機械学習エンジニア / AIエンジニア,AMBL株式会社,東京都,月給 25万125円 ~ 27万610円
アナリスト,株式会社ミツエーリンクス,東京都 新宿区 西新宿,月給 25万円 ~ 45万円
コンテンツ編成 / データアナリスト,株式会社運動通信社,東京都 港区 西新橋,正社員
事業横断 データサイエンティスト・データアナリスト,ソニーグループ株式会社,東京都 品川区 大崎,年収 600万円
MAアナリスト,オルビス株式会社,東京都 品川区 戸越銀座駅,月給 28万円 ~ 38万円
データアナリスト/9-123206,株式会社じげん,東京都 港区,"月給 375,000円 ~ 666,667円"
データアナリスト(アナリティクスエンジニア)/インターネット/Webサービス・ASP,株式会社Gaudiy,東京都 渋谷区 笹塚,年収 400万円 ~ 800万円
2025年度 エンジニア職 本選考,株式会社ディー・エヌ・エー,東京都 渋谷区,"月給 271,250円 ~ 528,500円"
ネットゼロ推進、ESGデータ算定・検証、フロント部門リエゾン、企画一般,野村證券株式会社,東京都 千代田区 大手町,正社員
AI エンジニア/ITコンサルティング,株式会社データフォーシーズ,東京都 港区 南麻布,年収 400万円 ~ 700万円
ファンドマネジャー,三井住友DSアセットマネジメント株式会社,一部在宅 in 東京都 港区,月給 30万円
データアナリスト/本社,株式会社ぐるなび,東京都 千代田区 有楽町駅,正社員
データサイエンティスト・アナリスト,東日本電信電話 株式会社,東京都 新宿区,月給 30万円 ~ 52万円
データ統合アナリスト 新規価値創出,ISD,東京都 千代田区 神田紺屋町,"年俸 700万円 ~ 1,200万円"
時代に求められるDEIコンサルタント(西新宿),romtechjapan,東京都 新宿区 新宿駅,月給 31万円 ~ 40万円
個人営業,株式会社Choice,東京都 渋谷区,"年収 660万円 ~ 1,080万円"
Loro Piana - CRM Analyst / CRMアナリスト　ロロピアーナ,LVMH Japan Group,東京都 千代田区,正社員
データ分析,司法書士法人 中央事務所グループ,東京都 新宿区,"時給 1,500円"
【ポートフォリオ・コンサルティング部】ポートフォリオ・コンサルタント(機関投資家及び事業法人や年金基金等に対するポートフォリオ分析・提言業務),野村證券株式会社,東京都 千代田区 大手町,正社員
Tableauデータアナリスト業務,株式会社Arkanoids,東京都 千代田区,月給 60万円 ~ 75万円
データアナリスト / 統計学 / マーケティング,ハーベスト株式会社,東京都 港区 表参道駅,月給 75万円 ~ 85万円
8月〜 フルリモート 小売業向け案件 データエンジニア・アナリスト,ヒューマネクト株式会社,フルリモート in 東京都 港区 南青山,月給 35万円 ~ 55万円
経営課題解決/97117,株式会社WACUL,東京都 千代田区,"年俸 1,100万円 ~ 2,000万円"
運用戦略改善に貢献するアナリスト,株式会社ー心堂[1020082],東京都 千代田区 一番町,"年俸 600万円 ~ 1,000万円"
運用戦略改善に貢献するアナリスト,株式会社ー心堂[1020082],東京都 千代田区 一番町,"年俸 600万円 ~ 1,000万円"
データアナリスト / 統計学 / マーケティング,ハーベスト株式会社,東京都 港区 表参道駅,月給 75万円 ~ 85万円
データアナリスト/プロダクトの事業成長に向けたログ分析・活用業務,Sansan株式会社,東京都 渋谷区,月給 40万円 ~ 54万円
2025年度 エンジニア職 本選考,株式会社ディー・エヌ・エー,東京都 渋谷区,"月給 271,250円 ~ 528,500円"
データアナリスト・データサイエンティスト,東京電力エナジーパートナー株式会社,東京都 中央区,"月給 324,300円 ~ 431,400円"
Data Engineer/ データエンジニア,ACS Japan,東京都 23区,正社員
【ポートフォリオ・コンサルティング部】ポートフォリオ・コンサルタント(機関投資家及び事業法人や年金基金等に対するポートフォリオ分析・提言業務),野村證券株式会社,東京都 千代田区 大手町,正社員
個人営業,株式会社Choice,東京都 渋谷区,"年収 660万円 ~ 1,080万円"
ビジネスアナリスト,Quantitative Consulting 株式会社,東京都 港区 虎ノ門, 
データアナリスト,モンスターラボグループ,東京都 渋谷区 恵比寿,正社員
8月〜 フルリモート 小売業向け案件 データエンジニア・アナリスト,ヒューマネクト株式会社,フルリモート in 東京都 港区 南青山,月給 35万円 ~ 55万円
データアナリスト,ヘイズ・スペシャリスト・リクルートメント・ジャパン株式会社,東京都 23区,"年収 1,100万円"
セールスデータアナリスト_SFA活用による事業推進,カルチュア･コンビニエンス・クラブグループ,東京都 渋谷区 渋谷,月給 34万910円
システムエンジニア/データエンジニア/データアナリスト,デロイト　トーマツ税理士法人,東京都 千代田区 二重橋前駅,年収 473万円
マーケティングリサーチ・分析/リース・レンタル業界のマーケティング・企画・宣伝,三井住友ファイナンス&リース株式会社,東京都,"年収 700万円 ~ 1,500万円"
データアナリスト/東京,株式会社メンバーズ,東京都 中央区 晴海,年収 350万円 ~ 700万円
データアナリスト,株式会社フライウィール,東京都 港区 虎ノ門,"月給 268,980円"
データサイエンティスト(機械学習を用いたｻｰﾋﾞｽの顧客への提案・ｺﾝｻﾙﾃｨﾝｸﾞ業務)【B職】,株式会社キーエンス,東京都 港区 台場,"年収 900万円 ~ 2,067万円"
データアナリスト/三菱総研グループの中核企業/定着率/フレックス可/在宅,三菱総研DCS株式会社,東京都 品川区 品川シーサイド駅,年収 600万円 ~ 849万円
データアナリスト(dip data design.Lab),ディップ株式会社,東京都 港区 六本木,年収 600万円 ~ 900万円
イベント・セールス・スペシャリスト,IDC Japan株式会社,東京都 千代田区,"年収 500万円 ~ 1,000万円"
データサイエンススペシャリスト洞察を生み出す,株式会社ー心堂[1500013],東京都 渋谷区 恵比寿,年俸 400万円 ~ 600万円
データサイエンティスト・アナリスト,フューチャー株式会社,一部在宅 in 東京都 品川区,正社員
システムエンジニア,株式会社NOM,東京都 墨田区,月給 50万円 ~ 80万円
【業務委託】データアナリスト,株式会社Hakky,フルリモート in 東京都 新宿区 新宿,"時給 1,200円 ~ 8,000円"
データサイエンティスト(未経験者)【東京】,株式会社ビヨンド･ザ･データ,フルリモート in 東京都 渋谷区 恵比寿駅,年収 400万円 ~ 600万円
データアナリスト,Sansan株式会社,東京都 渋谷区,"月給 466,666円 ~ 630,000円"
マーケティング戦略立案責任者 マーケティングを成功,株式会社ー心堂[1060032],東京都 港区 六本木,年俸 400万円 ~ 750万円
データアナリスト(MaaSビジネス支援)【Web選考で完結/パーソルG/残業20H】,パーソルプロセス&テクノロジー株式会社,東京都 江東区,年収 440万円 ~ 640万円
国内モビリティサービス企画,株式会社Senyou,東京都 23区,"月給 491,666円 ~ 1,308,333円"
アナリスト,クワンタム・テクノロジー株式会社,東京都 千代田区 神田小川町,正社員+1
先端技術の調査~研究,株式会社日本総合研究所,東京都 品川区 大崎駅,正社員
仮説構築・施策提案・効果測定におけるデータアナリスト,コタエルHR株式会社,東京都 23区,月給 41.7万円 ~ 83.4万円
システムエンジニア/CXデザイン部データマーケティング/ビジネスアナリスト,三井住友海上火災保険株式会社,東京都 千代田区 御茶ノ水駅,"年収 700万円 ~ 1,400万円"
【データアナリスト】オンラインカード購入サービスのデータ分析案件,株式会社Senyou,東京都 23区,月給 70万円 ~ 80万円
業務委託/電気小売会社におけるデータエンジニア・アナリスト,株式会社デジタルトランスフォーメーション,東京都 港区,月給 55万円
データ活用スペシャリスト 医療データを駆使,ISD,東京都 港区 西新橋,年俸 400万円 ~ 700万円
システムエンジニア/データアナリスト,ゼビオコミュニケーションネットワークス株式会社,東京都 千代田区 御茶ノ水駅,年収 400万円 ~ 700万円
データサイエンティスト・アナリスト,マツダ株式会社,東京都 千代田区,月給 20万円 ~ 60万円
【キャリア採用】データ利活用推進,YKK AP株式会社,東京都 千代田区 神田和泉町,"年収 700万円 ~ 1,100万円"
データサイエンティスト,株式会社TCEコンサルティング,東京都 中央区,月給 32万円 ~ 62万円
データエンジニア(シニア),ビットバンク株式会社,東京都 品川区 西五反田,月給 41.7万円 ~ 75.0万円
データサイエンティスト・アナリスト,株式会社 豆蔵,東京都 新宿区,"月給 333,333円 ~ 416,666円"
データアナリスト,株式会社くすりの窓口,東京都 豊島区 池袋,月給 40万円
データサイエンティスト・アナリスト,株式会社ビーグリー,東京都 港区,正社員
データアナリスト・データサイエンティスト,株式会社MILIZE,東京都 港区,"月給 256,000円 ~ 684,900円"
データアナリスト・データサイエンティスト,株式会社wevnal,東京都 渋谷区,月給 27.2万円 ~ 67.0万円
データサイエンティスト・アナリスト,株式会社ARISE　analytics,東京都 渋谷区,月給 31万円 ~ 49万円
